1|45|1
2|31|0
3|45|0
5|41|0
6|29|0
7|29|0
8|29|0
10|29|0
11|29|0
13|31|2
14|31|2
15|41|0
16|41|0
17|45|1
18|45|2
19|46|0
20|46|0
21|23|1
25|20|1
26|35|1
27|11|0
28|50|0
29|53|1
31|29|0
32|29|0
35|29|0
36|29|0
37|29|0
38|29|0
39|29|0
40|29|0
42|31|0
45|31|0
46|31|0
47|41|0
48|41|0
49|41|0
50|41|0
51|41|0
52|41|0
54|45|0
56|23|0
57|23|0
58|23|0
60|23|0
61|25|0
63|48|0
64|48|0
66|48|0
67|48|0
69|48|0
79|36|0
82|5|0
83|5|0
84|5|0
85|12|0
86|47|0
87|20|0
88|21|0
89|21|0
90|21|0
91|9|0
92|9|0
95|9|0
97|9|0
98|38|0
100|38|0
103|24|0
105|31|0
106|41|0
108|45|0
109|41|0
111|21|0
112|51|0
113|45|0
114|40|0
117|46|0
119|29|0
120|29|0
121|16|0
122|13|0
123|29|0
124|20|0
126|14|0
127|26|0
129|41|0
130|25|0
132|53|0
133|20|0
137|23|0
144|38|0
146|40|0
148|32|0
151|4|0
152|31|0
153|29|0
154|4|0
155|28|0
156|29|0
157|31|0
158|31|3
159|31|3
160|31|0
161|19|0
163|31|0
166|1|0
167|53|1
168|19|1
170|35|0
172|29|0
173|29|0
174|29|0
175|29|0
176|31|1
177|31|1
179|31|1
180|31|0
181|31|3
183|23|0
184|41|0
186|41|0
187|41|0
188|45|1
189|46|0
190|38|0
193|18|0
194|15|0
197|54|2
198|49|0
199|33|0
200|50|0
201|31|2
203|23|0
206|7|1
208|2|0
209|54|1
211|54|0
212|27|0
215|1|0
216|36|1
218|22|0
222|31|1
225|45|0
229|19|1
230|50|0
231|54|2
232|42|0
233|31|0
236|41|0
237|46|0
239|46|0
240|31|2
241|41|0
242|20|1
244|41|0
245|9|0
254|3|0
255|21|1
256|5|0
258|48|1
261|23|0
263|45|1
264|45|1
265|45|0
266|0|0
270|31|1
277|36|0
279|29|0
280|31|0
281|33|0
283|36|0
285|31|0
286|46|0
290|56|0
291|5|0
292|5|0
293|5|0
295|7|0
296|12|0
297|19|0
298|19|0
299|29|0
300|35|0
301|35|0
302|36|0
304|48|0
305|46|0
306|46|0
307|52|0
308|52|0
309|52|0
310|53|0
311|31|1
315|23|0
316|29|0
319|9|0
320|9|0
321|23|0
323|35|0
327|33|0
330|46|0
331|31|0
332|48|0
333|36|0
334|1|0
335|1|0
336|1|0
337|1|0
338|1|0
353|35|0
354|5|0
